Question ID,Question,A,B,C,D,Correct Answer,Difficulty Level,tags,topic,subtopic
Q1,What is the purpose of the init() method in a Python class?, It is used to define the class methods, It is used to create a new object of the class, It is used to initialize the attributes of the object when it is created, It is used to delete an object of the class,C,Beginner,Functions,func_4,func_4_4
Q2,"What will be the output of the following Python expression if x=56.236?   print(""%.2f""%x)",56.236,56.23,56,56.24,D,Beginner,Python formatting and printing,vardt_2,vardt_2_2
Q3,Which module in the python standard library parses options received from the command line?, getarg, getopt, main, os,B,Advanced,Libraries,mods_8,mods_8_1
Q4,"What will be the output of the following Python code snippet? z=set('abc$de')
'a' in z", Error, True, False, No output,B,Advanced,"Tuples, Lists, Dictionaries, Sets",ds_5,ds_5_4
Q5,Which of the following is a feature of Python DocString?, In Python all functions should have a docstring, Docstrings can be accessed by the __doc__ attribute on objects," It provides a convenient way of associating documentation with Python modules, functions, classes, and methods", All of the mentioned,D,Advanced,String Tools,vardt_2,vardt_2_2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Q9,What is the length of sys.argv?, number of arguments, number of arguments + 1, number of arguments � 1, none of the mentioned,B,Beginner,Arguments,funcs_4,funcs_4_2
Q10,What is setattr() used for?, To access the attribute of the object, To set an attribute, To check if an attribute exists or not, To delete an attribute,B,Advanced,Classes and Objects,oop_7,oop_7_1
Q11,When will the else part of try-except-else be executed?, always, when an exception occurs, when no exception occurs, when an exception occurs in to except block,C,Advanced,Exception Handling,errhand_10,errhand_10_1
Q12,Which of the following statements are true?," When you open a file for reading, if the file does not exist, an error occurs"," When you open a file for writing, if the file does not exist, a new file is created"," When you open a file for writing, if the file exists, the existing file is overwritten with the new file", All of the mentioned,D,Advanced,Files & Modules,io_6,io_6_3
Q13,Program code making use of a given module is called a ______ of the module., Client, Docstring, Interface, Modularity,A,Advanced,Modules and Packages,mods_8,mods_8_2
Q14,Which one of the following is not attributes of file?, closed, softspace, rename, mode,C,Intermediate,Files & Modules,io_6,io_6_1
